字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,78289,0.045289963016677495,78289,0.045289963016677495
2,是,,30830,0.017835066992861925,109119,0.06312503000953942
3,不,,30223,0.01748391922560058,139342,0.08060894923514
4,人,,23968,0.013865419581087076,163310,0.09447436881622708
5,有,,21463,0.012416284231845457,184773,0.10689065304807253
6,一,,18083,0.010460963880373732,202856,0.11735161692844627
7,他,,16086,0.009305705080998278,218942,0.12665732200944455
8,在,,13906,0.008044581304013556,232848,0.1347019033134581
9,自,,12091,0.006994608985101963,244939,0.14169651229856006
10,對,,11982,0.006931552796252727,256921,0.1486280650948128
11,很,,11917,0.006893950481801347,268838,0.15552201557661413
12,了,,11604,0.006712880875289321,280442,0.16223489645190345
13,會,,11459,0.006628998789205475,291901,0.16886389524110892
14,到,,11323,0.006550323177430281,303224,0.17541421841853921
15,她,,11304,0.00653933173166757,314528,0.18195355015020678
16,要,,11259,0.006513299360124307,325787,0.1884668495103311
17,我,,11172,0.006462970108474,336959,0.1949298196188051
18,個,,10708,0.006194547433005692,347667,0.20112436705181078
19,這,,10706,0.00619339043871488,358373,0.20731775749052567
20,情,,10531,0.006092153438268859,368904,0.21340991092879452
21,就,,10290,0.005952735626226053,379194,0.21936264655502058
22,時,,9969,0.005767038042550779,389163,0.22512968459757135
23,為,,9599,0.00555299409875062,398762,0.23068267869632197
24,心,,9491,0.0054905164070467895,408253,0.23617319510336876
25,都,,9071,0.0052475476059763385,417324,0.2414207427093451
26,來,,8620,0.004986645393398307,425944,0.2464073881027434
27,以,,8390,0.004853591049954964,434334,0.25126097915269835
28,好,,8371,0.004842599604192253,442705,0.2561035787568906
29,男,,8369,0.0048414426099014415,451074,0.26094502136679204
30,女,,8273,0.004785906883942481,459347,0.2657309282507345
31,得,,8235,0.00476392399241706,467582,0.2704948522431516
32,己,,8041,0.004651695546208328,475623,0.27514654778935993
33,愛,,7838,0.004534260625690943,483461,0.2796808084150509
34,能,,7823,0.004525583168509855,491284,0.28420639158356076
35,多,,7567,0.004377487899285961,498851,0.2885838794828467
36,方,,7329,0.004239805578679372,506180,0.29282368506152606
37,而,,7320,0.00423459910437072,513500,0.2970582841658968
38,可,,7259,0.004199310778500964,520759,0.30125759494439774
39,也,,7139,0.004129891121052263,527898,0.30538748606545
40,過,,7137,0.004128734126761451,535035,0.3095162201922115
41,說,,7100,0.004107329732381436,542135,0.3136235499245929
42,出,,7007,0.004053529497858693,549142,0.3176770794224516
43,上,,6921,0.004003778743353791,556063,0.3216808581658054
44,沒,,6897,0.003989894811864051,562960,0.32567075297766945
45,還,,6821,0.003945929028813207,569781,0.32961668200648264
46,生,,6691,0.003870724399910449,576472,0.33348740640639307
47,地,,6444,0.0037278356049952072,582916,0.3372152420113883
48,後,,6431,0.003720315142104931,589347,0.3409355571534932
49,大,,6181,0.0035756908557534723,595528,0.3445112480092467
50,感,,6091,0.003523626112666947,601619,0.34803487412191364
51,友,,6063,0.0035074281925955835,607682,0.3515423023145092
52,之,,5968,0.003452470963782029,613650,0.35499477327829126
53,性,,5777,0.0033419780090095147,619427,0.35833675128730075
54,想,,5769,0.003337350031846268,625196,0.36167410131914707
55,意,,5751,0.0033269370832289626,630947,0.365001038402376
56,只,,5530,0.003199089214094273,636477,0.36820012761647025
57,事,,5494,0.003178263316859663,641971,0.3713783909333299
58,當,,5333,0.0030851252764493233,647304,0.37446351620977925
59,但,,5280,0.0030544649277428142,652584,0.37751798113752205
60,你,,5250,0.003037110013380639,657834,0.3805550911509027
61,經,,5188,0.003001243190365477,663022,0.3835563343412682
62,中,,5114,0.0029584344016054453,668136,0.38651476874287366
63,看,,4889,0.0028282725438891322,673025,0.3893430412867628
64,真,,4848,0.002804554160927493,677873,0.3921475954476903
65,成,,4765,0.0027565388978588084,682638,0.39490413434554905
66,如,,4739,0.0027414979720782567,687377,0.39764563231762734
67,和,,4708,0.0027235645605706757,692085,0.400369196878198
68,年,,4688,0.0027119946176625592,696773,0.4030811914958606
69,分,,4602,0.0026622438631576572,701375,0.40574343535901825
70,去,,4591,0.002655880394558193,705966,0.4083993157535764
71,同,,4508,0.0026078651314895085,710474,0.41100718088506594
72,麼,,4473,0.0025876177314003044,714947,0.41359479861646625
73,無,,4441,0.0025691058227473177,719388,0.41616390443921353
74,家,,4419,0.002556378885548389,723807,0.4187202833247619
75,因,,4288,0.002480595759500225,728095,0.4212008790842622
76,下,,4282,0.0024771247766277897,732377,0.42367800386088994
77,實,,4253,0.0024603483594110207,736630,0.42613835222030094
78,前,,4226,0.002444728936485063,740856,0.428583081156786
79,發,,4211,0.0024360514793039753,745067,0.43101913263609
80,於,,4170,0.002412333096342336,749237,0.43343146573243235
81,們,,4142,0.002396135176270973,753379,0.4358276009087033
82,現,,4107,0.0023758877761817683,757486,0.43820348868488507
83,才,,4080,0.002360268353255811,761566,0.4405637570381409
84,然,,4054,0.0023452274274752593,765620,0.44290898446561616
85,相,,3932,0.002274650775735747,769552,0.4451836352413519
86,開,,3889,0.002249775398483296,773441,0.4474334106398352
87,子,,3844,0.0022237430269400334,777285,0.4496571536667752
88,常,,3843,0.0022231645297946276,781128,0.4518803181965699
89,面,,3830,0.002215644066904352,784958,0.4540959622634742
90,力,,3817,0.002208123604014076,788775,0.4563040858674883
91,著,,3782,0.002187876203924872,792557,0.4584919620714132
92,天,,3776,0.0021844052210524367,796333,0.4606763672924656
93,間,,3770,0.0021809342381800016,800103,0.4628573015306456
94,兩,,3765,0.0021780417524529727,803868,0.4650353432830986
95,理,,3687,0.0021329189751113174,807555,0.4671682622582099
96,讓,,3679,0.0021282909979480707,811234,0.46929655325615793
97,最,,3616,0.002091845677787503,814850,0.47138839893394546
98,用,,3607,0.0020866392034788505,818457,0.4734750381374243
99,些,,3579,0.002070441283407487,822036,0.4755454794208318
100,被,,3553,0.002055400357626935,825589,0.4776008797784587
101,小,,3521,0.0020368884489739485,829110,0.4796377682274327
102,所,,3504,0.0020270539975020493,832614,0.48166482222493473
103,手,,3502,0.0020258970032112377,836116,0.483690719228146
104,婚,,3415,0.00197556775156093,839531,0.4856662869797069
105,其,,3410,0.0019726752658339006,842941,0.4876389622455408
106,道,,3390,0.001961105322925784,846331,0.4896000675684666
107,身,,3363,0.0019454858999998265,849694,0.4915455534684664
