字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,人,,69868,0.036567105201868025,69868,0.036567105201868025
2,的,,62148,0.03252665675396024,132016,0.06909376195582827
3,不,,39853,0.02085803005109702,171869,0.08995179200692528
4,女,,37207,0.019473182046801162,209076,0.10942497405372645
5,是,,36569,0.01913926933828236,245645,0.1285642433920088
6,男,,34812,0.01821970095447744,280457,0.14678394434648626
7,有,,27207,0.014239440533967244,307664,0.16102338488045348
8,也,,17176,0.00898947442244354,324840,0.17001285930289703
9,愛,,16115,0.008434174447931861,340955,0.1784470337508289
10,會,,14985,0.007842761656981627,355940,0.18628979540781052
11,自,,14837,0.007765302282591686,370777,0.19405509769040222
12,在,,14822,0.007757451670322435,385599,0.20181254936072465
13,一,,14380,0.007526120295455176,399979,0.2093386696561798
14,都,,14019,0.007337182226841871,413998,0.2166758518830217
15,說,,12855,0.006727974714748003,426853,0.2234038265977697
16,了,,12583,0.00658561694559892,439436,0.22998944354336862
17,多,,12081,0.006322883121654658,451517,0.23631232666502328
18,為,,11734,0.006141272291159321,463251,0.2424535989561826
19,子,,11130,0.005825154303784152,474381,0.24827875325996673
20,要,,10876,0.005692217269358171,485257,0.25397097052932494
21,而,,10799,0.00565191745970935,496056,0.25962288798903427
22,或,,10522,0.00550694281980385,506578,0.2651298308088381
23,性,,10444,0.0054661196360037455,517022,0.27059595044484186
24,上,,10416,0.00545146515976781,527438,0.27604741560460966
25,跟,,10314,0.005398080996336904,537752,0.2814454966009466
26,很,,10259,0.005369295418016317,548011,0.28681479201896287
27,但,,10156,0.005315387880434129,558167,0.29213017989939705
28,己,,9847,0.0051536652676875605,568014,0.29728384516708456
29,就,,9751,0.005103421349164355,577765,0.3023872665162489
30,想,,9622,0.005035906083648797,587387,0.3074231725998977
31,得,,9576,0.005011830872689761,596963,0.3124350034725875
32,大,,9408,0.0049239040152741515,606371,0.31735890748786166
33,時,,9213,0.00482184605577389,615584,0.3221807535436355
34,來,,9082,0.004753284041955765,624666,0.3269340375855913
35,還,,9037,0.004729732205148013,633703,0.3316637697907393
36,好,,8736,0.004572196585611712,642439,0.336235966376351
37,做,,8681,0.004543411007291125,651120,0.34077937738364217
38,本,,8661,0.004532943524265458,659781,0.3453123209079076
39,我,,8650,0.00452718640860134,668431,0.3498395073165089
40,到,,8483,0.004439782925337013,676914,0.35427929024184596
41,像,,8044,0.004210021672923604,684958,0.35848931191476957
42,對,,8022,0.00419850744159537,692980,0.36268781935636496
43,這,,8009,0.004191703577628686,700989,0.3668795229339936
44,沒,,7697,0.004028410842428267,708686,0.3709079337764219
45,許,,7531,0.003941530733315225,716217,0.3748494645097371
46,過,,7087,0.0037091526101453985,723304,0.37855861711988253
47,能,,7042,0.003685600773337646,730346,0.38224421789322016
48,覺,,6919,0.0036212257527297887,737265,0.38586544364594993
49,日,,6893,0.0036076180247964205,744158,0.38947306167074636
50,以,,6732,0.0035233547864397946,750890,0.39299641645718614
51,讓,,6579,0.0034432785412934356,757469,0.3964396949984796
52,等,,6567,0.0034369980514780346,764036,0.39987669304995765
53,然,,6336,0.0033160986225315714,770372,0.4031927916724892
54,他,,6279,0.003286266295908418,776651,0.4064790579683976
55,因,,6184,0.0032365457515364958,782835,0.4097156037199341
56,無,,6137,0.0032119471664261764,788972,0.4129275508863603
57,年,,6029,0.00315542275808757,795001,0.41608297364444785
58,出,,5965,0.003121926812405433,800966,0.4192049004568533
59,她,,5894,0.003084767247664312,806860,0.4222896677045176
60,如,,5852,0.0030627855333104094,812712,0.425352453237828
61,情,,5763,0.0030162052338461877,818475,0.4283686584716742
62,現,,5641,0.002952353587389614,824116,0.4313210120590638
63,心,,5495,0.0028759409613022388,829611,0.43419695302036604
64,只,,5490,0.0028733240905458217,835101,0.4370702771109119
65,當,,5422,0.002837734648258551,840523,0.43990801175917044
66,生,,5415,0.0028340710291995673,845938,0.44274208278837
67,看,,5329,0.0027890608521891954,851267,0.4455311436405592
68,最,,5248,0.002746667545935241,856515,0.44827781118649446
69,婚,,5210,0.002726779328186472,861725,0.4510045905146809
70,家,,5062,0.00264931995379653,866787,0.4536539104684774
71,樣,,4902,0.0025655800895911874,871689,0.4562194905580686
72,感,,4863,0.002545168497691135,876552,0.45876465905575975
73,後,,4715,0.002467709123301193,881267,0.46123236817906094
74,可,,4691,0.0024551481436703914,885958,0.46368751632273136
75,去,,4667,0.00244258716403959,890625,0.4661301034867709
76,常,,4647,0.0024321196810139223,895272,0.46856222316778484
77,起,,4585,0.0023996704836343518,899857,0.4709618936514192
78,法,,4538,0.0023750718985240324,904395,0.47333696554994326
79,手,,4461,0.0023347720888752116,908856,0.4756717376388184
80,麼,,4455,0.002331631843967511,913311,0.478003369482786
