字頻序號,字,擴展,出現頻次,出現頻率,累積頻次,累積頻率
1,的,,67070,110.49423393739704,67070,110.49423393739704
2,一,,26199,43.16144975288303,93269,153.65568369028006
3,是,,24473,40.31795716639209,117742,193.97364085667215
4,了,,20823,34.30477759472817,138565,228.27841845140034
5,不,,20611,33.95551894563427,159176,262.2339373970346
6,我,,20560,33.87149917627677,179736,296.10543657331135
7,人,,16434,27.074135090609555,196170,323.1795716639209
8,他,,15519,25.5667215815486,211689,348.74629324546953
9,她,,14764,24.322899505766063,226453,373.06919275123556
10,有,,14676,24.177924217462934,241129,397.2471169686985
11,個,,13339,21.97528830313015,254468,419.2224052718287
12,在,,12988,21.39703459637562,267456,440.61943986820427
13,來,,11394,18.771004942339374,278850,459.39044481054367
14,說,,11159,18.383855024711696,290009,477.77429983525536
15,到,,10377,17.095551894563428,300386,494.8698517298188
16,這,,10313,16.99011532125206,310699,511.85996705107084
17,著,,9940,16.375617792421746,320639,528.2355848434926
18,就,,9919,16.341021416803954,330558,544.5766062602966
19,小,,9866,16.253706754530477,340424,560.830313014827
20,和,,9494,15.640856672158154,349918,576.4711696869851
21,要,,8981,14.795716639209227,358899,591.2668863261944
22,子,,8877,14.624382207578254,367776,605.8912685337726
23,大,,8537,14.064250411861615,376313,619.9555189456343
24,們,,7831,12.901153212520594,384144,632.8566721581549
25,生,,7689,12.667215815485998,391833,645.5238879736409
26,上,,7519,12.387149917627678,399352,657.9110378912685
27,家,,7475,12.314662273476111,406827,670.2257001647447
28,你,,7380,12.158154859967052,414207,682.3838550247117
29,後,,7278,11.990115321252059,421485,694.3739703459638
30,會,,7107,11.70840197693575,428592,706.0823723228995
31,老,,7024,11.57166392092257,435616,717.654036243822
32,時,,6899,11.365733113673805,442515,729.0197693574959
33,很,,6731,11.088962108731467,449246,740.1087314662274
34,都,,6717,11.065897858319605,455963,751.1746293245469
35,自,,6658,10.968698517298188,462621,762.1433278418451
36,出,,6572,10.827018121911038,469193,772.9703459637561
37,女,,6473,10.663920922570016,475666,783.6342668863261
38,對,,6255,10.304777594728172,481921,793.9390444810543
39,好,,6166,10.158154859967052,488087,804.0971993410215
40,也,,5971,9.83690280065898,494058,813.9341021416803
41,媽,,5935,9.777594728171334,499993,823.7116968698517
42,為,,5930,9.769357495881383,505923,833.4810543657331
43,那,,5846,9.630971993410213,511769,843.1120263591433
